match id,dataset_type,win_pred_team_id,win_pred_score,indep_feat_id1,indep_feat_id2,indep_feat_id3,indep_feat_id4,indep_feat_id5,indep_feat_id6,indep_feat_id7,indep_feat_id8,indep_feat_id9,indep_feat_id10,train_algorithm,is_ensemble,train_hps_trees,train_hps_depth,train_hps_lr
9250275,r1,90,0.646415761654892,0.0,0.0196078431372549,,0.0,,1,0,,,,GradientBoostingClassifier,no,10,2,0.1
9262189,r1,36098,0.5649388471996389,0.6153846153846154,0.3442622950819672,153.5,66.67,151.28571428571428,1,0,,,,GradientBoostingClassifier,no,10,2,0.1
9128776,r1,48334,0.5282886040872166,0.8421052631578947,0.7530864197530864,179.625,100.0,171.06666666666666,0,1,,,,GradientBoostingClassifier,no,10,2,0.1
9586919,r1,36112,0.5258061130595691,0.2857142857142857,1.4878048780487805,155.5,75.0,166.0,1,0,,,,GradientBoostingClassifier,no,10,2,0.1
9128538,r1,30414,0.5314918364919042,2.375,0.3103295404167282,164.125,0.0,169.93333333333334,1,0,,,,GradientBoostingClassifier,no,10,2,0.1
9516653,r1,30435,0.5335262395503003,0.4,0.6721311475409836,184.5,50.0,177.06666666666666,1,0,,,,GradientBoostingClassifier,no,10,2,0.1
9516534,r1,30414,0.5649388471996389,0.6818181818181818,0.3442622950819672,156.35,25.0,183.46666666666667,1,0,,,,GradientBoostingClassifier,no,10,2,0.1
9085474,r1,9701,0.5176274315066394,3.2,0.6039603960396039,177.32142857142858,0.0,163.06666666666666,1,0,,,,GradientBoostingClassifier,no,10,2,0.1
9433752,r1,7727,0.5855528089797787,2.4285714285714284,2.9047619047619047,151.6,100.0,167.0,1,0,,,,GradientBoostingClassifier,no,10,2,0.1
9516359,r1,30428,0.5472745054238213,1.7272727272727273,21.0,186.5,66.67,171.06666666666666,1,0,,,,GradientBoostingClassifier,no,10,2,0.1
9262133,r1,36098,0.5390126243505435,1.7142857142857142,1.4878048780487805,134.0,66.67,168.8,1,0,,,,GradientBoostingClassifier,no,10,2,0.1
9782086,r1,202,0.5390126243505435,1.5,1.9523809523809523,140.5,0.0,157.33333333333334,0,1,,,,GradientBoostingClassifier,no,10,2,0.1
9271807,r1,47501,0.6090191966911545,0.6,0.5061728395061729,132.0,0.0,158.2,1,0,,,,GradientBoostingClassifier,no,10,2,0.1
9644102,r1,48,0.5390126243505435,3.4,1.4878048780487805,144.93333333333334,0.0,176.06666666666666,1,0,,,,GradientBoostingClassifier,no,10,2,0.1
9256386,r1,62,0.5924087558790042,0.4444444444444444,0.024390243902439,156.63333333333333,0.0,140.53333333333333,0,1,,,,GradientBoostingClassifier,no,10,2,0.1
9272773,r1,33963,0.5093263349218566,0.9090909090909092,2.9047619047619047,133.41666666666666,50.0,155.13333333333333,1,0,,,,GradientBoostingClassifier,no,10,2,0.1
